role;name;team;partite_valide;media_voto;fanta_media;goal_fatti;goal_subiti;rigori_parati;rigori_totali;rigori_segnati;rigori_sbagliati;assist;ammonizioni;espulsioni;autogoal;stagione;migliore;anno_finale
P;Aresti;Cagliari;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0;2019
P;Falcone;Sampdoria;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0;2019
P;Rossi F.;Atalanta;0;0.0;0.0;0;0;0;0;0;0;0;0;0.0;0.0;2018-2019;0;2019
D;De Vrij;Lazio;36;6.25;6.74;6;0;0;0;0;0;1;3;0.0;0.0;2017-2018;0;2018
D;De Silvestri;Torino;35;6.04;6.46;5;0;0;0;0;0;2;3;0.0;0.0;2017-2018;1;2018
D;Alex Sandro;Juventus;26;6.08;6.54;4;0;0;0;0;0;4;8;0.0;0.0;2017-2018;0;2018
D;Fazio;Roma;33;6.17;6.26;2;0;0;0;0;0;0;6;0.0;0.0;2017-2018;0;2018
D;Bonucci;Milan;35;5.83;5.9;2;0;0;0;0;0;0;5;0.0;0.0;2017-2018;0;2018
D;Manolas;Roma;29;6.02;6.22;2;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0;2018
D;Acerbi;Sassuolo;38;5.93;5.83;0;0;0;0;0;0;0;4;0.0;0.0;2017-2018;0;2018
D;Ceccherini;Crotone;37;5.8;5.82;1;0;0;0;0;0;1;4;0.0;0.0;2017-2018;0;2018
D;Mario Rui;Napoli;24;6.02;6.23;2;0;0;0;0;0;4;8;0.0;0.0;2017-2018;0;2018
D;Rugani;Juventus;22;6.14;6.39;2;0;0;0;0;0;1;3;0.0;0.0;2017-2018;0;2018
D;Romagnoli;Milan;27;6.04;6.09;2;0;0;0;0;0;0;7;0.0;0.0;2017-2018;0;2018
D;Toloi;Atalanta;30;6.15;6.22;1;0;0;0;0;0;3;6;0.0;0.0;2017-2018;0;2018
D;Hysaj;Napoli;35;5.94;5.91;0;0;0;0;0;0;1;2;0.0;0.0;2017-2018;0;2018
D;Zappacosta;Torino;1;5.5;5.5;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0;2018
D;Hateboer;Atalanta;32;6.0;5.95;0;0;0;0;0;0;0;3;0.0;0.0;2017-2018;0;2018
D;Rodriguez R.;Milan;34;5.75;5.68;1;0;0;2;1;1;0;3;0.0;0.0;2017-2018;0;2018
D;Gosens;Atalanta;20;6.02;6.2;1;0;0;0;0;0;1;1;0.0;0.0;2017-2018;0;2018
D;Biraghi;Fiorentina;34;5.72;5.82;1;0;0;0;0;0;4;7;0.0;0.0;2017-2018;0;2018
D;Calabria;Milan;18;5.97;6.25;1;0;0;0;0;0;3;0;0.0;0.0;2017-2018;0;2018
D;Faraoni;Crotone;24;5.79;6.12;2;0;0;0;0;0;3;2;0.0;0.0;2017-2018;0;2018
D;Palomino;Atalanta;23;6.04;6.11;1;0;0;0;0;0;0;3;0.0;0.0;2017-2018;0;2018
D;Masina;Bologna;34;5.63;5.51;0;0;0;0;0;0;1;8;0.0;0.0;2017-2018;0;2018
D;Djimsiti;Benevento;30;5.53;5.53;0;0;0;0;0;0;1;2;0.0;0.0;2017-2018;0;2018
D;Ferrari G.;Sampdoria;30;5.68;5.82;2;0;0;0;0;0;0;4;0.0;0.0;2017-2018;0;2018
D;Biraschi;Genoa;22;5.89;5.89;0;0;0;0;0;0;1;2;0.0;0.0;2017-2018;0;2018
D;Bereszynski;Sampdoria;31;5.74;5.69;0;0;0;0;0;0;1;5;0.0;0.0;2017-2018;0;2018
D;Lykogiannis;Cagliari;9;6.0;6.17;0;0;0;0;0;0;2;2;0.0;0.0;2017-2018;0;2018
D;Juan Jesus;Roma;20;5.72;5.58;0;0;0;0;0;0;0;4;0.0;0.0;2017-2018;0;2018
D;De Sciglio;Juventus;12;6.42;6.62;1;0;0;0;0;0;0;1;0.0;0.0;2017-2018;0;2018
D;Lirola;Sassuolo;24;5.79;5.79;0;0;0;0;0;0;1;2;0.0;0.0;2017-2018;0;2018
D;Milenkovic;Fiorentina;16;5.75;5.69;0;0;0;0;0;0;0;0;0.0;0.0;2017-2018;0;2018
D;Romagnoli S.;Bologna;8;6.0;5.94;0;0;0;0;0;0;0;1;0.0;0.0;2017-2018;0;2018
D;Izzo;Genoa;16;5.94;6.06;1;0;0;0;0;0;0;2;0.0;0.0;2017-2018;0;2018
D;Goldaniga;Sassuolo;13;5.92;5.88;1;0;0;0;0;0;0;3;0.0;0.0;2017-2018;0;2018
D;Pereira P.;Genoa;6;5.92;5.75;0;0;0;0;0;0;0;2;0.0;0.0;2017-2018;0;2018
D;Venuti;Benevento;30;5.35;5.25;0;0;0;0;0;0;1;4;0.0;0.0;2017-2018;0;2018
D;Bani;Chievo;16;5.78;5.59;0;0;0;0;0;0;0;4;0.0;0.0;2017-2018;0;2018
D;Rogerio;Sassuolo;11;5.68;5.5;0;0;0;0;0;0;0;4;0.0;0.0;2017-2018;0;2018
